kreta
KNYA
NYE
NYF
olasz célnyelvi civilizáció 12A/2_EGD
történelem fakt-ol 12/1_EGD (A)
olasz célnyelvi civilizáció 11A/1_EGD
történelem 10E/1_LE
matematika 11A/1alap_FSÁ
matematika 11E/1alap_FSÁ
matematika 12D/alap2r_FG
olasz ny 9/1_FÉ
olasz oi KNy/1_FÉ
olasz NYEF_FÉ
olasz 11/3_FÉ (EF)
olasz 10/2_FÉ (A/2)
matematika 10A/2_SG
olasz 10/1_FÉ (A/1)
angol NYEF/1_KZs
matematika 12A/1alap_FG
matematika 10D/1n_FG
matematika 9B/1_FG
matematika 9E/2_FG
kémia 9B/2_FR
informatika fakt közép 11/1_CsA (BE)
matematika 9A/2_FD
média NyF/2tk_SzaP
informatika 10F/2tk_CsA
média 11F/2tk_PL
média 10F/2tk_PL
informatika 12F/1inf_MAt
informatika 10F/1inf_Mat
média NyF/2tk_PL
informatika 9A/2_FD
informatika 10C/2hum_FD
informatika 9F/1inf_KA
testnevelés 10B/fiú_FuG
testnevelés 10F/fiú_FuG
testnevelés 9A10D/fiú_FuG
testnevelés 9B/fiú_FuG
testnevelés 9F/fiú_FuG
testnevelés 12F/fiú_FuG
testnevelés 12A/fiú-lány-2_FuG
angol OKTV szakkör_JA
német NYEF/1_GA
német 11/2_GA (EF/1)
olasz oi KNy/3_GBR
olasz 9/4_GBR (EF)
olasz 11/4_GBR (BD)
művészettörténet 11A/2_GG
művészettörténet 12A/2_GG
olasz lekt KNy/3_GG
olasz lekt KNy/1_GG
olasz 10/3_GG (A/3)
művészettörténet 12A/1_GG
angol 11/3_HL (BD/2)
angol 11/7_HL (EF/3)
informatika fakt emelt 11_FD (ABDF)
angol NYEF/2_HL
informatika NyF/1inf_Mat
kémia 10E/2_HI
biológia fakt 11/2_HI (ABCD_4ó)
kémia 9B/1_HI
biológia fakt 11/1_HI (CD)
biológia 12B/2an_HKD
biológia 12B/1mt_HKD
irodalom 9C/1mat_HeA
irodalom 10D/1n_HeA
irodalom NyE/1_HeA
irodalom NyF/1inf_HeA
irodalom NyF/2tk_HeA
nyelvtan NyF/1inf_HeA
nyelvtan NyF/2tk_HeA
irodalom NyE/2_HeA
nyelvtan 9C/1mat_HeA
nyelvtan 10D/1n_HeA
nyelvtan NyE/1_HeA
matematika 10B/2_HoA
történelem 11E/alap_KE
angol 10/3_HBE (CD/1)
angol NYEF/4_TVCs
angol 10/13_HBE (9A10D/3)
angol NYEF/4_HBE
angol 9/4_HBE (CD/2)
angol 12/1_HBE (B)
irodalom 10B/2_KM
német 12/2_JVZ (11A12BCD)
német 10/1_JVZ (D)
történelem 11D/alap_JVZ
német 11/4_JVZ (10A11BD)
matematika 10E/2_JanA
kémia 9C/1mat_JanA
kémia 9A/1_JanA
matematika 11B/2an-alap_JanA
kémia 9F/2tk_JanA
kémia 9A/2_JanA
kémia 10E/1_JanA
kémia 9C/2hum_JanA
irodalom fakt 12/1_KSB (ABDEF)
irodalom fakt 11/1_KSB (ABDEF/1)
irodalom 10D/2r_LL
nyelvtan fakt 11/1_KSB (ABDEF/1)
nyelvtan fakt 12/1_KSB (ABDEF)
célnyelvi földrajz fakt 11A_MÁ
angol 9/1_NK (B/1)
angol 10/2_KZs (B/2)
történelem 10B/2_KE
történelem fakt 12/4_KE (F)
testnevelés 10E/lány_NSz
történelem 12E/alap_KE
történelem 9B/1_KE
történelem 12B/alap_KE
történelem 10F/1inf_PZ
életvitel 12B/alap_KE
életvitel 12E/alap_KE
matematika 10E/1_KA
matematika 10A/1_KA
matematika fakt 11/2_KA (DBE)
matematika NyF/1inf_KA
matematika 9F/2tk_KA
informatika 9D/1n_FD
művészeti modul 11/4_PT (ábrázológeometria BDEF)
olasz 12/1A_KKM (A/1)
olasz 12/2B_KKM (A/2)
olasz 5óra KNy/3_KKM
olasz 10/4_KKM (EF)
olasz oi KNy/2_KKM
fizika fakt 12/1_SP (BCE)
nyelvtan 10B/2_KM
olasz 8óra KNy/3_TJ
francia 11/2_KM (EF)
francia 10/1_KM (EF)
francia 10/2_KM (BD)
francia 11/1_KM (10A11BD)
matematika 11D/alap2r_SG
biológia 9E/2_KHG
biológia 12E/1_KHG
biológia 9E/1_KHG
kémia 9F/1inf_KHG
biológia 12E/2_KHG
kémia fakt 11/2_KHG (ABDE)
kémia fakt 12/2_SKE (ABDE)
kémia fakt 11/1_KHG (E)
testnevelés 10A11D/lány-2_LaE
testnevelés 9C/lány_LaE
testnevelés 9D/lány-1_LaE
testnevelés 9A/lány-1_LaE
testnevelés 11A12D/lány-2_LaE
testnevelés 11E/lány_LaE
testnevelés 9E/lány_LaE
irodalom 10C/1mat_LL
irodalom 12E/alap_LL
irodalom 11E/alap_LL
földrajz fakt 12_TG (ABDE)
irodalom 9A/2_LL
irodalom 9A/1_LL
történelem 9E/1_LL
nyelvtan 11E/alap_LL
nyelvtan 12E/alap_LL
nyelvtan 10D/2r_LL
nyelvtan 10C/1mat_LL
nyelvtan 9A/1_LL
nyelvtan 9A/2_LL
angol 12/3_LB (BD/2)
történelem fakt 12/3_Tk (DE)
biológia 11E/2_LMG
biológia 11E/1_LMG
kémia 9D/1n_LMG
kémia NyE/2_LMG
kémia NyE/1_LMG
történelem 9A/1_LE
történelem 12A/alap_LE
történelem 9A/2_LE
történelem 10A/1_LE
történelem 10E/2_LE
történelem 10A/2_LE
életvitel 12A/alap_LE
életvitel fakt 12/1_LE (A)
biológia NyE/1_MK
biológia fakt emelt 12/1_MK (ABD)
biológia NyE/2_MK
matematika fakt 12/4_ML (F)
matematika NyE/1_ML
matematika 9D/2r_ML
német 11/3_ME (EF/2)
német 10/2_ME (EF/1)
német 10/5_ME (9A10BCD/1)
média 9F/2tk_PT
informatika KNY/1_FD
matematika NyF/2tk_Mat
informatika fakt emelt 12_FD (ABDF)
informatika 10B/1_FD
angol 11/6_SzRE (EF/2)
olasz 11/1 (A/1)_MÁ
földrajz 9A/2_MÁ
földrajz 9A/1_MÁ
olasz 11/2 (A/2)_MÁ
latin 9C/2hum_MÁ
földrajz 10A/2_MÁ
angol 12/4_NK (BD/3)
angol 12/7_NK (11A12D/3)
nyelvtan 9B/1_NK
nyelvtan NyE/2_HeA
nyelvtan 9B/2_NK
irodalom 9B/1_NK
irodalom 9B/2_NK
testnevelés 11D/lány-1_NSz
testnevelés 12E/lány_NSz
testnevelés KNy/lány-1_NSz
testnevelés 10D/lány-1_NSz
testnevelés 11B/lány_NSz
matematika NyE/2_NPP
matematika 12D/alap1n_NPP
angol NYEF/3_SzRE
életvitel fakt 12/4_KE (F)
testnevelés 10A/lány-1_NVE
testnevelés KNy9D/lány-2_NVE
testnevelés 10F/lány_NVE
testnevelés 12D/lány-1_NVE
testnevelés 9B/lány_NVE
testnevelés 12F/lány_NVE
informatika 9D/2r_NB
informatika 9C/2hum_NB
rajz 9D/2r-A_PT
informatika KNY/2_FD
informatika 9B/1_NB
angol 10/4_VBo (CD/2)
angol 10/9_SzaP (EF/4)
történelem fakt 11/4_PZ (EF)
történelem 9E/2_PZ
nyelvtan 11F/alap_PZ
történelem 9F/2tk_PZ
történelem 9F/1inf_PZ
történelem 10B/1_PZ
irodalom 11F/alap_PZ
történelem 10F/2tk_PZ
matematika fakt 12/2_PZs (DBE)
matematika KNy/2_PZs
matematika KNy/1_PZs
informatika 10C/1mat_FD
rajz 9C/1mat_PT
rajz 10C/2hum_PT
informatika 10D/2r_FD
művészeti modul 11/3_PT (művészettörténet BDE)
rajz 11D/2r_PT
rajz 10D/2r_PT
média 11F/2tk_PT
rajz 9C/2hum_PT
rajz 10C/1mat_PT
irodalom 9C/2hum_PPD
irodalom 12D/alap_PPD
irodalom 11A/alap_PPD
irodalom 9F/1inf_PPD
történelem 12D/alap_PPD
irodalom 9F/2tk_PPD
nyelvtan 11A/alap_PPD
nyelvtan 12D/alap_PPD
nyelvtan 9F/2tk_PPD
életvitel 12D/alap_PPD
nyelvtan 9C/2hum_PPD
nyelvtan 9F/1inf_PPD
fizika fakt 11/1_SP (BF)
matematika 10F/2tk_ST
matematika 12A/2alap_ST
matematika 10F/1inf_ST
történelem 10D/2r_SzAn
angol 9/8_SeV (EF/3)
angol NYEF/2_VBo
matematika 11E/2alap_SZs
matematika 9B/2_SZs
olasz ny 9/2_SB
olasz tanm KNy/1_SB
olasz 8óra KNy/1_SB
olasz tanm KNy/3_SB
olasz tanm KNy/2_SB
biológia 10E/2_SKE
biológia 10E/1_SKE
életvitel fakt 12/2_SzP (B)
kémia fakt 12/1_SKE (E)
kémia 9E/2_SKE
kémia 9E/1_SKE
német NYEF/2_SIK
német 9/2_SIK (EF/2)
német 10/3_SIK (EF/2)
spanyol 9/1_SVI (EF)
spanyol 10/3_SVI (9A10CD)
spanyol 11/2_SVI (10A11BD)
média 12F/2tk_SzaP
angol 11/10_SzaP (10A11BD/2)
média 12B/1mt_SzaP
média 12B/2an_SzaP
média 12_SzaP (A tömb)
spanyol 12/1_SzAd (11A12BD)
spanyol NYEF_SzAd
spanyol 11/1_SzAd (EF)
spanyol 10/1_SzAd (EF)
spanyol 10/2_SzAd (B)
történelem 9C/1mat_SzAn
történelem 10D/1n_SzAn
orosz NYEF_SzAn
orosz 10/1_SzAn (9A10CD)
orosz 11/1_SzAn (10A11BD)
nyelvtan 10C/2hum_TK
francia 12/1_SzL (11A12BCD)
francia 9/NY_SzL (NyENyF)
francia 10/3_SzL (9A10C)
angol 11/2_SzRE (BD/1)
angol 10/1_SzRE (B/1)
angol OKTV szakkör_SzRE
irodalom 9D/1n_VBZs
matematika érettségi felkészítés 12D_NPP
történelem fakt 12/2_SzP (B)
történelem 10C/2hum_SzP
matematika 11B/1mt_VB
angol 11/11_TG (10A11D/3)
földrajz fakt 11_TG (ABD)
irodalom 12F/alap_TK
irodalom 10C/2hum_TK
életvitel fakt 12/3_TK (DE)
irodalom fakt 11/2_TK (ABDEF/2)
nyelvtan fakt 11/2_TK (ABDEF/1)
nyelvtan 12F/alap_TK
történelem fakt 11/2_TK (B)
olasz 12/4_TJ (BD)
történelem 9C/2hum_TJ
történelem 9B/2_TJ
történelem 11A/alap_TJ
