csoport,osztaly
irodalom 10C/2hum_TK,10.C
életvitel fakt 12/3_TK (DE),12.D
életvitel fakt 12/3_TK (DE),12.E
irodalom fakt 11/2_TK (ABDEF/2),11.A
irodalom fakt 11/2_TK (ABDEF/2),11.B
irodalom fakt 11/2_TK (ABDEF/2),11.D
irodalom fakt 11/2_TK (ABDEF/2),11.E
irodalom fakt 11/2_TK (ABDEF/2),11.F
nyelvtan fakt 11/2_TK (ABDEF/1),11.A
nyelvtan fakt 11/2_TK (ABDEF/1),11.B
nyelvtan fakt 11/2_TK (ABDEF/1),11.D
nyelvtan fakt 11/2_TK (ABDEF/1),11.E
nyelvtan fakt 11/2_TK (ABDEF/1),11.F
nyelvtan 12F/alap_TK,12.F
történelem fakt 11/2_TK (B),11.B
olasz 12/4_TJ (BD),12.B
olasz 12/4_TJ (BD),12.D
történelem 9C/2hum_TJ,9.C
történelem 9B/2_TJ,9.B
történelem 11A/alap_TJ,11.A
történelem fakt 11/1_TJ (A),11.A
angol tm NyF/1inf_TVCs,NYF
angol 9/9_TVCs (EF/4),9.E
angol 9/9_TVCs (EF/4),9.F
angol 11/9_TVCs (10A11D/1),10.A
angol 11/9_TVCs (10A11D/1),11.D
angol tm NyE/1_TVCs,NYE
angol tm NyE/2_TVCs,NYE
angol tm NyF/2tk_TVCs,NYF
informatika 10D/1n_FD,10.D
matematika korrep 12E_VB,12.E
matematika 12E/2_VB,12.E
matematika 11F/tkinf-alap_VB,11.F
matematika 12F/tkinf-alap_VB,12.F
matematika korrep 11F_VB,11.F
angol 12/5_VBo (11A12D/1),11.A
angol 12/5_VBo (11A12D/1),12.D
angol 9/6_VBo (EF/1),9.E
angol 9/6_VBo (EF/1),9.F
irodalom 9D/2r_VBZs,9.D
nyelvtan 12B/1mt_VBZs,12.B
nyelvtan 9D/2r_VBZs,9.D
irodalom 11D/alap_VBZs,11.D
nyelvtan 12B/2an_VBZs,12.B
nyelvtan 9D/1n_VBZs,9.D
nyelvtan 11D/alap_VBZs,11.D
matematika 9C/2hum_SG,9.C
matematika 10B/1_SG,10.B
média tv-összejátszás 10F/2tk_PL,10.F
nyelvtan korrep 11F/alap_PZ,11.F
magyar mint idegen nyelv_JVZ (JY),-
magyar mint idegen nyelv_SVI (GA),-
magyar mint idegen nyelv_SVI (HIH),-
magyar mint idegen nyelv_SVI (NHL),-
magyar mint idegen nyelv_SVI (YYH),-
magyar mint idegen nyelv_SzL (AMN),-
latin szakkör_MÁ,-
magyar mint idegen nyelv_SVI (SWE),-
német OKTV szakkör_JVZ,11.D
német OKTV szakkör_JVZ,12.D
német korrep_1_JVZ (MJK),-
német korrep_2_JVZ (KA),-
magyar mint idegen nyelv_SzL (UE),-
magyar mint idegen nyelv_SVI (ZS),-
gyógytestnevelés MN/1_NVE,-
gyógytestnevelés MN/2_NVE,-
gyógytestnevelés MN/3_NVE,-
testnevelés MN/2_NSz (labdajáték),NYF
