csoport,osztaly
matematika 9F/1inf_DE,9.F
matematika fakt 11/3_DE (F),11.F
matematika 11D/alap1n_DE,11.D
matematika 10C/2hum_DE,10.C
földrajz 10A/1_MÁ,10.A
testnevelés 10A11D/fiú_DF,10.A
testnevelés 10A11D/fiú_DF,11.D
testnevelés 12E/fiú_DF,12.E
testnevelés KNy9D/fiú_DF,KNYA
testnevelés KNy9D/fiú_DF,9.D
testnevelés 11A12D/fiú_DF,11.A
testnevelés 11A12D/fiú_DF,12.D
testnevelés 10C/fiú_DF,10.C
testnevelés 12A/lány-1_DF,12.A
testnevelés 9E/fiú_DF,9.E
informatika 9C/1mat_NB,9.C
matematika 12A/2alap-ol_DÁ,12.A
matematika 11A/2alap_DÁ,11.A
matematika 10C/1mat_DÁ,10.C
matematika fakt 12/1_DÁ (A),12.A
matematika 12A/1alap-ol_DÁ,12.A
matematika 10A/2-ol_DÁ,10.A
matematika 11A/2alap-ol_DÁ,11.A
matematika fakt 11/1-ol_DÁ (A),11.A
testnevelés NyF/lány_NSz,NYF
matematika fakt 12/1-ol_DÁ (A),12.A
matematika 10A/1-ol_DÁ,10.A
testnevelés NyE/lány_NVE,NYE
angol 12/1_DW (B),12.B
angol 9/2_DW (B/2),9.B
angol 9/3_DW (CD/1),9.C
angol 9/3_DW (CD/1),9.D
angol 12/2_DW (BD/1),12.B
angol 12/2_DW (BD/1),12.D
angol 11/1_DW (BD),11.B
angol 11/1_DW (BD),11.D
angol 9/1_DW (B/1),9.B
angol 11/5_DW (EF/1),NYE
angol 11/5_DW (EF/1),NYF
angol 12/4_DW (BD/3),12.B
angol 12/4_DW (BD/3),12.D
angol 12/7_DW (11A12D/3),11.A
angol 12/7_DW (11A12D/3),12.D
angol 10/1_DW (B/1),10.B
matematika 12B/2an-alap_FSÁ,12.B
angol 10/2_DW (B/2),10.B
angol 11/4_JA (BD/3),11.B
angol 11/4_JA (BD/3),11.D
angol 11/5_JA (EF/1),11.E
angol 11/5_JA (EF/1),11.F
angol NYEF/1_JA,NYE
angol NYEF/1_JA,NYF
angol 10/6_DKS (EF/1),10.E
angol 10/6_DKS (EF/1),10.F
angol NYEF/5_DKS,NYE
angol NYEF/5_DKS,NYF
angol 10/11_DKS (9A10D/1),9.A
angol 10/11_DKS (9A10D/1),10.D
angol 9/3_DKS (CD/1),9.C
angol 9/3_DKS (CD/1),9.D
olasz célnyelvi civilizáció 10A/1_EGD,10.A
olasz célnyelvi civilizáció 12A/1_EGD,12.A
történelem fakt 12/1_LE (A),12.A
történelem fakt-ol 11/1_EGD (A),11.A
olasz célnyelvi civilizáció 10A/2_EGD,10.A
olasz célnyelvi civilizáció 11A/2_EGD,11.A
történelem-ol 10A/2_EGD,10.A
történelem-ol 10A/1_EGD,10.A
történelem-ol 11A/alap_EGD,11.A
történelem-ol 12A/alap_EGD,12.A
olasz célnyelvi civilizáció 12A/2_EGD,12.A
történelem fakt-ol 12/1_EGD (A),12.A
olasz célnyelvi civilizáció 11A/1_EGD,11.A
történelem 10E/1_LE,10.E
matematika 11A/1alap_FSÁ,11.A
matematika 11E/1alap_FSÁ,11.E
matematika 12D/alap2r_FG,12.D
olasz ny 9/1_FÉ,9.A
olasz oi KNy/1_FÉ,KNYA
olasz NYEF_FÉ,NYE
olasz NYEF_FÉ,NYF
olasz 11/3_FÉ (EF),11.E
olasz 11/3_FÉ (EF),11.F
olasz 10/2_FÉ (A/2),10.A
matematika 10A/2_SG,10.A
olasz 10/1_FÉ (A/1),10.A
